simulation_id,Uhub,Hs,Tp,CurrentSpeed
159,48.9,6.1,9,1.17
160,46.3,8.7,11.55,1.17
161,46.3,6.1,9.9,1.17
162,48.9,6.1,9,1.17
163,46.3,8.7,9.45,1.17
164,46.3,6.1,9,1.27
165,48.9,6.1,9.9,1.17
166,46.3,6.1,9.9,1.27
167,46.3,8.7,9.45,1.17
168,48.9,6.1,8.1,1.17
169,48.9,6.1,9,1.17
170,46.3,6.1,9,1.27
171,46.3,6.1,9,1.17
172,48.9,6.1,9.9,1.17
173,48.9,6.1,8.1,1.21
174,46.3,6.1,9,1.27
175,46.3,6.1,9,1.17
176,46.3,6.1,8.1,1.21
177,48.9,6.1,8.1,1.17
178,46.3,6.1,9.9,1.17
179,46.3,6.1,9.9,1.27
180,46.3,6.1,9.9,1.27
181,46.3,6.1,8.1,1.17
182,48.9,6.1,9.9,1.17
183,46.3,6.1,9,1.17
184,46.3,6.1,8.1,1.17
185,46.3,6.1,8.1,1.17
186,46.3,6.1,9.9,1.17
187,46.3,6.1,9.9,1.17
188,46.3,6.1,8.1,1.17
189,46.3,6.1,8.1,1.27
190,46.3,6.1,8.1,1.27
191,48.9,6.1,9.9,1.21
192,48.9,6.1,9.9,1.21
193,46.3,6.1,8.1,1.27
194,48.9,6.1,9,1.21
195,48.9,6.1,8.1,1.17
196,48.9,6.1,9.9,1.27
197,48.9,6.1,9,1.27
198,46.3,6.1,9.9,1.17
199,46.3,6.1,9,1.17
200,46.3,6.1,9,1.17
201,48.9,6.1,9,1.27
202,46.3,8.7,11.55,1.17
203,46.3,6.1,8.1,1.27
204,46.3,6.1,9,1.21
205,48.9,6.1,8.1,1.21
206,46.3,8.7,9.45,1.17
207,46.3,6.1,8.1,1.17
208,48.9,6.1,9.9,1.21
209,48.9,6.1,9.9,1.21
210,46.3,6.1,9,1.21
211,46.3,6.1,9,1.17
212,46.3,6.1,9.9,1.17
213,46.3,6.1,8.1,1.17
214,48.9,6.1,8.1,1.27
215,48.9,6.1,9.9,1.21
216,48.9,6.1,9.9,1.27
217,46.3,8.7,9.45,1.17
218,48.9,6.1,8.1,1.27
219,46.3,8.7,11.55,1.17
220,46.3,6.1,9,1.17
221,46.3,8.7,9.45,1.17
222,46.3,6.1,9,1.17
223,48.9,6.1,9.9,1.27
224,48.9,6.1,9,1.27
225,46.3,6.1,8.1,1.27
226,48.9,6.1,8.1,1.21
227,48.9,6.1,8.1,1.21
228,46.3,8.7,10.5,1.17
229,48.9,6.1,9,1.27
230,48.9,6.1,9.9,1.17
231,48.9,6.1,9.9,1.27
232,48.9,6.1,9.9,1.27
233,48.9,6.1,9.9,1.17
234,46.3,6.1,8.1,1.17
235,46.3,6.1,9.9,1.27
236,46.3,6.1,9.9,1.27
237,48.9,6.1,8.1,1.27
238,48.9,6.1,9.9,1.21
239,46.3,6.1,9.9,1.27
240,48.9,6.1,9.9,1.27
241,48.9,6.1,8.1,1.27
242,48.9,6.1,9,1.21
243,48.9,6.1,9,1.27
244,46.3,6.1,8.1,1.27
245,48.9,6.1,9.9,1.27
246,48.9,6.1,9.9,1.27
247,46.3,6.1,9,1.27
248,48.9,6.1,9.9,1.27
249,48.9,6.1,9.9,1.27
250,48.9,6.1,9,1.27
251,48.9,6.1,9,1.21
252,46.3,6.1,9,1.17
253,48.9,6.1,9,1.21
254,48.9,11.8,14.5,1.17
255,48.9,6.1,9.9,1.17
256,48.9,6.1,8.1,1.27
257,48.9,6.1,8.1,1.27
258,48.9,6.1,9.9,1.21
259,48.9,6.1,9,1.27
260,48.9,11.8,15.95,1.17
261,48.9,6.1,9,1.27
262,46.3,6.1,9.9,1.27
263,48.9,6.1,8.1,1.27
264,48.9,6.1,8.1,1.27
265,46.3,6.1,8.1,1.27
266,48.9,6.1,9,1.27
267,48.9,6.1,9.9,1.27
268,48.9,11.8,15.95,1.17
269,48.9,6.1,9,1.21
270,48.9,6.1,8.1,1.27
271,48.9,11.8,15.95,1.17
272,48.9,6.1,9.9,1.27
273,48.9,6.1,8.1,1.27
274,48.9,6.1,8.1,1.27
275,48.9,11.8,14.5,1.17
276,48.9,11.8,13.05,1.17
277,48.9,6.1,8.1,1.27
278,48.9,6.1,9,1.27
279,48.9,11.8,14.5,1.17
280,48.9,11.8,14.5,1.17
281,48.9,11.8,13.05,1.17
282,48.9,11.8,15.95,1.17
283,46.3,6.1,9,1.27
284,48.9,11.8,13.05,1.17
285,48.9,6.1,9,1.21
286,48.9,11.8,13.05,1.17
287,48.9,11.8,15.95,1.17
288,48.9,11.8,13.05,1.17
289,48.9,11.8,14.5,1.17
290,48.9,6.1,8.1,1.27
291,48.9,6.1,9,1.21
292,48.9,6.1,8.1,1.21
293,48.9,11.8,15.95,1.17
294,48.9,11.8,14.5,1.17
295,48.9,6.1,9,1.21
296,48.9,11.8,15.95,1.44
297,48.9,11.8,15.95,1.17
298,46.3,6.1,8.1,1.27
299,48.9,6.1,8.1,1.21
300,48.9,11.8,15.95,1.17
301,48.9,6.1,9,1.27
302,48.9,6.1,9.9,1.27
303,48.9,11.8,15.95,1.17
304,48.9,6.1,9,1.17
305,48.9,11.8,15.95,1.17
306,48.9,11.8,15.95,1.17
307,48.9,11.8,14.5,1.17
308,48.9,11.8,15.95,1.44
309,48.9,11.8,14.5,1.17
310,48.9,6.1,8.1,1.21
311,46.3,6.1,9,1.27
312,48.9,11.8,14.5,1.17
313,48.9,6.1,9.9,1.21
314,48.9,11.8,13.05,1.17
315,48.9,11.8,14.5,1.17
316,48.9,11.8,14.5,1.17
317,48.9,11.8,13.05,1.17
318,46.3,6.1,9,1.27
319,48.9,11.8,14.5,1.17
320,48.9,11.8,14.5,1.44
321,48.9,6.1,9,1.27
322,48.9,11.8,15.95,1.44
323,48.9,11.8,14.5,1.44
324,48.9,11.8,14.5,1.44
325,48.9,11.8,14.5,1.44
326,48.9,11.8,14.5,1.17
327,48.9,11.8,15.95,1.44
328,48.9,11.8,13.05,1.17
329,48.9,11.8,13.05,1.17
330,48.9,6.1,8.1,1.27
331,48.9,6.1,9,1.27
332,48.9,11.8,13.05,1.17
333,48.9,11.8,13.05,1.17
334,48.9,11.8,13.05,1.17
335,48.9,11.8,13.05,1.44
336,48.9,11.8,14.5,1.44
337,48.9,11.8,13.05,1.44
338,48.9,11.8,15.95,1.17
339,48.9,11.8,13.05,1.44
340,48.9,11.8,15.95,1.44
341,48.9,11.8,15.95,1.44
342,48.9,11.8,13.05,1.44
343,48.9,6.1,9.9,1.21
344,48.9,11.8,14.5,1.17
345,48.9,11.8,15.95,1.44
346,48.9,11.8,14.5,1.44
347,48.9,11.8,13.05,1.17
348,48.9,11.8,14.5,1.44
349,48.9,11.8,15.95,1.17
350,48.9,11.8,13.05,1.17
351,48.9,11.8,14.5,1.17
352,48.9,11.8,15.95,1.17
353,48.9,11.8,14.5,1.44
354,48.9,11.8,15.95,1.44
355,48.9,11.8,15.95,1.44
356,48.9,11.8,15.95,1.17
357,48.9,11.8,13.05,1.17
358,48.9,11.8,13.05,1.44
359,48.9,11.8,15.95,1.44
360,48.9,11.8,13.05,1.44
361,48.9,11.8,13.05,1.44
362,48.9,11.8,14.5,1.44
363,48.9,11.8,14.5,1.44
364,48.9,11.8,14.5,1.44
365,48.9,11.8,15.95,1.44
366,48.9,11.8,15.95,1.44
367,48.9,11.8,14.5,1.44
368,48.9,11.8,13.05,1.44
369,48.9,11.8,15.95,0.97
370,48.9,11.8,14.5,1.44
371,48.9,11.8,14.5,1.44
372,48.9,11.8,15.95,0.97
373,48.9,11.8,14.5,0.97
374,48.9,11.8,13.05,1.44
