foundation_origin z FloaterHeave [m],foundation_origin Rz FloaterYaw [deg],foundation_origin xy FloaterOffset [m],foundation_origin Rxy FloaterTilt [deg],CEN_E3 Resultant bending moment ArcLength=2.72 [kN.m],MooringLine1 Effective tension Fairlead [kN],MooringLine2 Effective tension Fairlead [kN],MooringLine3 Effective tension Fairlead [kN],MooringLine4 Effective tension Fairlead [kN],MooringLine5 Effective tension Fairlead [kN],foundation_origin Mooring GXY Resultant force [kN],GE14-220 GXY acceleration [m/s^2]
3.6416898568471274,4.744565507183382,28.17054123127558,3.859986934673891,545223.568598401,2636.3766276041665,1868.182861328125,1989.4520263671875,7698.197428385417,3596.0531412760415,8098.622959520752,3.0771085440363937
4.545901298522949,0.8986519733755935,28.771843532526173,3.7311820225558,521949.62636212603,2482.1065266927085,1807.7294514973958,1872.2544352213542,7625.71923828125,3408.94189453125,8005.953331885857,2.670719951964912
4.469768683115642,2.031365671705944,28.34760729825793,3.9746301946954232,468036.6356795612,2412.8330891927085,1768.1062418619792,1949.1550699869792,7771.525553385417,3327.8076171875,7767.606475033094,2.3862088099335206
2.7169535954793296,3.4690704750875185,30.39790379841273,5.759532078228708,729098.6715904283,3178.9149576822915,2286.8557942708335,1588.0769449869792,7976.302083333333,4396.402425130208,9343.29249262953,3.339899522354907
3.4770009517669678,-0.07392446974084362,31.109724631579535,6.270891283018924,692740.416183658,2870.0018717447915,2079.517618815104,1572.5950520833333,7910.671875,3925.8146158854165,8918.474093794935,2.6822036614773577
3.483879566192627,0.8277504098470648,31.135057943172196,6.082969338394531,655790.7016568029,2759.7806803385415,1997.0159912109375,1664.0426432291667,8331.236165364584,3913.609619140625,8884.730796065824,2.540189341013034
2.8812424739201865,2.449970614765361,31.953915039207896,6.182568350788348,787828.8000280719,3091.15869140625,2209.2008056640625,1487.2283935546875,9037.21875,4343.138102213542,9728.366014960826,3.4413826470833158
3.764397223790487,-0.8689609843060427,32.29085845850526,6.573091309604268,733379.7266853764,2755.362060546875,1964.2352701822917,1457.4369303385417,8838.84814453125,3883.7132975260415,9268.910926902312,2.9229876060337676
3.6541964213053384,-0.28580649550157095,32.64850829622472,6.540977897955091,688463.2706172228,2711.3789876302085,1945.4781901041667,1602.2003580729167,9368.720052083334,3933.44189453125,9502.467085635932,2.68138723269359
3.431130329767863,2.279792413956624,31.53524459199815,5.769691697411939,752612.5062074471,2791.1220703125,2002.6436767578125,1625.8239339192708,9257.044270833334,3910.6951497395835,9399.017806315565,3.2855293777079146
4.3549119631449384,-1.0083360157987469,31.343653124579475,6.30794590410065,712286.1612757007,2501.06689453125,1781.9401041666667,1663.7520345052083,8982.696126302084,3516.1844075520835,8948.511295054694,2.8995154660651443
4.332736492156982,-1.079978412505015,31.32814117989044,5.864062215427896,652549.4407447033,2426.5453287760415,1790.2710367838542,1740.26025390625,9355.4365234375,3444.3018391927085,9011.042498511042,2.6267495485628287
3.425875743230184,4.49872757560417,28.75446666994105,4.6766623744336115,623534.3895632592,2703.9230143229165,1922.1950276692708,1887.1570638020833,8006.640299479167,3736.8055013020835,8468.638527957468,3.1555282816104904
4.406167984008789,0.8944374976403822,28.8974837845327,5.052069804842605,601925.3271031312,2478.2616373697915,1770.4326985677083,1839.4417724609375,7907.713704427083,3431.813720703125,8142.722202443573,2.6948022092258452
4.333446343739827,1.7117837173358883,28.71095285973492,5.057454059548348,560445.9728545999,2388.6514485677085,1756.5521240234375,1894.2633056640625,8194.7470703125,3329.6192220052085,7978.903348345734,2.449615167983222
3.6504412492116294,5.474876725145628,30.547844114821732,3.946265165402851,561151.164409102,3457.5196940104165,2494.2235514322915,1739.0253092447917,6576.477864583333,4642.177734375,9444.646350357083,3.317348912607422
4.527305285135905,0.6594665926871218,31.745798980401883,3.6787207773371713,535671.615633082,3090.3854166666665,2219.9453125,1714.9774576822917,7570.832682291667,4282.20654296875,9174.79764615135,2.7452146999917986
4.469014326731364,1.433687745015108,30.135467056360316,3.92315375527636,463482.1585085288,2967.1048177083335,2104.185262044271,1715.5973714192708,7266.53955078125,4105.870686848958,8728.761679079793,2.5353849489222546
2.6931327184041343,3.3937256734006986,32.80241861639001,5.720225363590587,738111.5355653261,4048.864501953125,2990.3447265625,1452.1373697916667,7039.83984375,5479.335611979167,11234.563831547586,3.548994412657683
3.4759438832600913,-0.42840307954247797,34.8318272830972,6.1033324202972645,691034.1387143261,3519.3262532552085,2511.702880859375,1413.9456787109375,8212.405924479166,4994.936686197917,10526.998401473287,2.5590448074070355
3.5241858959198,0.3351368608778515,33.443541192587666,5.921452620445542,632049.0032399121,3374.8706868489585,2355.3424479166665,1413.9864501953125,8170.536458333333,4817.50341796875,10219.841272954165,2.511601913314775
2.916214903195699,2.919501323767735,34.192496734056476,6.215310802608741,772655.7298358423,3949.1644694010415,2849.7035319010415,1346.0909423828125,8099.381184895833,5436.75390625,11249.579471726167,3.597054517637641
3.7988208134969077,-1.4063919967881116,35.898440522863666,6.4683197126012315,723774.3497370305,3415.9903157552085,2390.6912434895835,1310.49169921875,8988.339192708334,4922.756022135417,10742.659357976363,2.6174870369442615
3.7080349127451577,-0.6259313938379885,34.859686844033945,6.370229230758689,676755.057985396,3299.6940104166665,2287.495849609375,1329.4449869791667,9082.7109375,4813.966634114583,10668.569594316046,2.82753910434603
3.4336140155792236,2.7571275923680414,33.40465925664939,5.8360993558794965,760502.7577231382,3663.5098470052085,2631.5029296875,1448.6667887369792,8168.765299479167,5031.864420572917,10480.709304504418,3.417520239603343
4.347511450449626,-1.6668771978946113,35.0301150340203,6.093225107864107,700387.2377061616,3169.4737141927085,2207.30810546875,1472.6064860026042,9056.695475260416,4552.632486979167,10309.369477389924,2.6538417723399452
4.317187070846558,-1.2157362840913442,33.54912911682441,5.824843197433815,647770.8110717,2996.583984375,2133.174519856771,1443.8274739583333,9011.66796875,4321.412516276042,9980.081736181264,2.794917305282553
3.438922961552938,5.160067685623236,30.924776113077016,4.7226599438827455,645744.8489636584,3517.8616536458335,2567.6978352864585,1675.3572184244792,6871.366048177083,4739.829264322917,9764.759699686741,3.33211636979042
4.394656658172607,0.48168885037813197,32.07249222332192,4.98193377163284,612268.7087509589,3085.5850423177085,2187.8359375,1663.8124186197917,7888.42333984375,4324.601236979167,9333.8862288212,2.717361302469662
