,0,1,2,3,4,5,6,7,8,9,10,11
0,0.19230783,0.03191492,0.08372092,0.5950413,0.5,0.0,0.75,0.066987306,0.5,0.0,0.0,1.0
1,0.26923072,0.03191492,0.22232556,0.14049578,0.75,0.066987306,0.9330127,0.25,0.9330127,0.25,0.70710677,0.14644662
2,0.9038464,1.0,0.855814,1.0,0.017037094,0.62940955,0.017037094,0.62940955,0.017037094,0.62940955,1.2246469e-16,0.0
3,0.26923072,0.0,0.13023251,0.76859474,0.75,0.066987306,0.5,0.0,0.25,0.066987306,1.2246469e-16,0.0
4,0.65384614,1.0,1.0,1.0,0.37059048,0.9829629,0.14644662,0.8535534,0.14644662,0.8535534,0.0,1.0
5,0.46153843,0.03191492,0.22232556,0.40495872,1.0,0.5,0.9330127,0.25,0.75,0.066987306,1.0,0.5
6,0.9038464,1.0,0.855814,1.0,0.25,0.9330127,0.25,0.9330127,0.25,0.9330127,0.70710677,0.8535534
7,0.19230783,0.074468136,0.04186046,0.76859474,0.5,0.0,0.25,0.066987306,0.25,0.066987306,1.0,0.5
8,0.9038464,1.0,1.0,1.0,0.0,0.5,0.066987306,0.75,0.066987306,0.75,0.0,1.0
9,0.0,1.0,0.71162796,1.0,0.5,1.0,0.25,0.9330127,0.25,0.9330127,0.70710677,0.8535534
10,0.3846153,0.2021277,0.25116277,0.0,0.75,0.9330127,0.9330127,0.75,1.0,0.5,0.70710677,0.14644662
11,0.19230783,0.0,0.0,0.40495872,0.5,0.0,0.5,0.0,0.75,0.066987306,0.0,1.0
12,0.65384614,1.0,0.855814,1.0,0.37059048,0.9829629,0.14644662,0.8535534,0.14644662,0.8535534,1.0,0.5
13,0.26923072,0.0,0.13023251,0.5950413,0.75,0.066987306,0.5,0.0,0.5,0.0,1.0,0.5
14,0.9038464,1.0,0.71162796,1.0,0.25,0.9330127,0.066987306,0.75,0.0,0.5,0.0,1.0
15,0.9038464,0.80851066,0.62790704,1.0,0.066987306,0.75,0.0,0.5,0.0,0.5,1.0,0.5
16,0.9038464,1.0,0.71162796,1.0,0.25,0.9330127,0.066987306,0.75,0.066987306,0.75,1.0,0.5
17,0.59615386,0.074468136,0.11162788,0.66942143,0.25,0.066987306,0.25,0.066987306,0.066987306,0.25,0.70710677,0.14644662
18,0.0,1.0,0.855814,1.0,0.5,1.0,0.25,0.9330127,0.066987306,0.75,0.0,1.0
19,0.26923072,0.03191492,0.016744196,0.14049578,0.75,0.066987306,0.75,0.066987306,0.9330127,0.25,1.2246469e-16,0.0
20,1.0000001,0.80851066,0.7627907,1.0,0.017037094,0.37059048,0.017037094,0.37059048,0.017037094,0.62940955,0.70710677,0.14644662
21,1.0000001,0.80851066,0.62790704,1.0,0.017037094,0.37059048,0.017037094,0.37059048,0.017037094,0.62940955,0.70710677,0.8535534
22,0.65384614,1.0,0.71162796,1.0,0.37059048,0.9829629,0.14644662,0.8535534,0.017037094,0.62940955,1.2246469e-16,0.0
23,0.9038464,1.0,1.0,1.0,0.14644662,0.8535534,0.017037094,0.62940955,0.017037094,0.62940955,1.2246469e-16,0.0
24,0.423077,0.03191492,0.14883721,0.0,0.9330127,0.25,0.9330127,0.25,1.0,0.5,0.70710677,0.8535534
25,0.9038464,0.80851066,0.62790704,0.66942143,0.0,0.5,0.0,0.5,0.066987306,0.25,0.70710677,0.8535534
26,0.19230783,0.074468136,0.11162788,0.5950413,0.5,0.0,0.25,0.066987306,0.5,0.0,0.70710677,0.8535534
27,0.826923,0.80851066,0.7627907,1.0,0.066987306,0.25,0.0,0.5,0.066987306,0.75,0.0,1.0
28,0.59615386,0.2021277,0.10046512,0.66942143,0.25,0.066987306,0.066987306,0.25,0.066987306,0.25,1.2246469e-16,0.0
29,0.65384614,1.0,0.855814,1.0,0.37059048,0.9829629,0.14644662,0.8535534,0.14644662,0.8535534,1.2246469e-16,0.0
30,0.3846153,0.80851066,0.62790704,1.0,0.75,0.9330127,0.5,1.0,0.5,1.0,0.70710677,0.14644662
31,0.26923072,0.03191492,0.22232556,0.0,0.75,0.066987306,0.9330127,0.25,1.0,0.5,1.2246469e-16,0.0
32,0.46153843,0.2021277,0.1674419,1.0,1.0,0.5,0.9330127,0.75,0.75,0.9330127,0.0,1.0
33,0.9038464,1.0,0.855814,1.0,0.25,0.9330127,0.066987306,0.75,0.25,0.9330127,1.0,0.5
34,0.9038464,0.80851066,0.62790704,1.0,0.25,0.9330127,0.5,1.0,0.75,0.9330127,0.70710677,0.14644662
35,0.0,0.4787234,0.29302323,0.7851236,0.5,1.0,0.75,0.9330127,0.9330127,0.75,1.0,0.5
